borough,median_price,property_type
Beaconsfield,955625,unifamiliale
Côte-Saint-Luc,937437,unifamiliale
Côte-Saint-Luc,521937,copropriete
Dollard-des-Ormeaux,767562,unifamiliale
Dollard-des-Ormeaux,461625,copropriete
Dorval,705750,unifamiliale
Dorval,410062,copropriete
Hampstead,1863125,unifamiliale
Kirkland,901000,unifamiliale
Mont-Royal,1712875,unifamiliale
Mont-Royal,654250,copropriete
Montréal-Ouest,1192187,unifamiliale
Ahuntsic-Cartierville,888087,unifamiliale
Ahuntsic-Cartierville,422062,copropriete
Ahuntsic-Cartierville,903250,plex
Anjou,614125,unifamiliale
Anjou,383500,copropriete
Anjou,846375,plex
Côte-des-Neiges-Notre-Dame-de-Grâce,1252250,unifamiliale
Côte-des-Neiges-Notre-Dame-de-Grâce,556625,copropriete
Côte-des-Neiges-Notre-Dame-de-Grâce,951625,plex
L'Île-Bizard-Sainte-Geneviève,718562,unifamiliale
LaSalle,706250,unifamiliale
LaSalle,455125,copropriete
LaSalle,856750,plex
Lachine,720000,unifamiliale
Lachine,417000,copropriete
Lachine,680585,plex
Le Plateau-Mont-Royal,1388375,unifamiliale
Le Plateau-Mont-Royal,582125,copropriete
Le Plateau-Mont-Royal,1150687,plex
Le Sud-Ouest,907875,unifamiliale
Le Sud-Ouest,488375,copropriete
Le Sud-Ouest,866250,plex
Mercier-Hochelaga-Maisonneuve,607500,unifamiliale
Mercier-Hochelaga-Maisonneuve,422625,copropriete
Mercier-Hochelaga-Maisonneuve,807875,plex
Montréal-Nord,541750,unifamiliale
Montréal-Nord,361250,copropriete
Montréal-Nord,776125,plex
Outremont,2174000,unifamiliale
Outremont,780062,copropriete
Pierrefonds-Roxboro,638062,unifamiliale
Pierrefonds-Roxboro,381875,copropriete
Rivière-des-Prairies-Pointe-aux-Trembles,565212,unifamiliale
Rivière-des-Prairies-Pointe-aux-Trembles,346000,copropriete
Rivière-des-Prairies-Pointe-aux-Trembles,808750,plex
Rosemont-La Petite-Patrie,1027125,unifamiliale
Rosemont-La Petite-Patrie,554300,copropriete
Rosemont-La Petite-Patrie,939125,plex
Saint-Laurent,833687,unifamiliale
Saint-Laurent,474062,copropriete
Saint-Laurent,921562,plex
Saint-Léonard,725250,unifamiliale
Saint-Léonard,418750,copropriete
Saint-Léonard,1031562,plex
Verdun,1193012,unifamiliale
Verdun,599766,copropriete
Verdun,965325,plex
Ville-Marie,1244750,unifamiliale
Ville-Marie,467375,copropriete
Ville-Marie,973000,plex
Villeray-Saint-Michel-Parc-Extension,687437,unifamiliale
Villeray-Saint-Michel-Parc-Extension,459500,copropriete
Villeray-Saint-Michel-Parc-Extension,835750,plex
Pointe-Claire,758999,unifamiliale
Pointe-Claire,559244,copropriete
Westmount,2182750,unifamiliale
Westmount,946606,copropriete
